timestamp,service,level,error_type,message,stack_trace,context,user_id
2025-07-11T21:14:10.141598,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:15:21.775488,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T21:15:21.775807,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:15:21.776114,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:15:51.782420,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:15:51.782771,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:17:48.493032,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:17:48.493204,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:20:20.035205,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T21:20:20.035630,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:20:20.036076,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:20:50.041935,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:20:50.042020,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:25:46.112364,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T21:25:46.113667,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:25:46.115131,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:26:16.117237,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:26:16.117334,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:45:37.248665,deployment,ERROR,service_failure,❌ streamlit has stopped,,,
2025-07-11T21:45:37.248990,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T22:15:46.134229,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T22:15:46.134892,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:15:46.135373,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:16:16.141649,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:16:16.141733,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T22:58:51.131469,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T22:58:51.132036,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:58:51.132665,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:59:21.138472,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T22:59:21.138518,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T23:13:37.894474,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T23:13:37.895272,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:13:37.895760,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:14:07.901558,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:14:07.901602,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T23:14:41.677672,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T23:14:41.678233,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:14:41.678590,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:15:11.684291,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:15:11.684340,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T23:18:07.078384,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T23:18:07.079382,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:18:07.080335,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:18:37.086437,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:18:37.086497,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T23:23:37.242309,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T23:23:37.243098,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:23:37.243758,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:24:07.250530,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:24:07.250672,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T23:39:06.200092,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T23:39:06.200631,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:39:06.200988,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:39:36.207223,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T23:39:36.207303,deployment,ERROR,service_monitoring,Service failure detected,,,
